epoch,train_loss,valid_loss,lr,weighted_rmse,weighted_mae,rmse,mse
0.0,641.0383307619842,512.2732614976607,0.001,,,,
1.0,697.1962593486732,509.6398261683204,0.001,,,,
2.0,669.0777336377362,577.4964994059494,0.001,,,,
3.0,655.6081717623172,484.31850129598973,0.001,,,,
4.0,615.9704973700484,476.3562386760077,0.001,,,,
5.0,624.9853011418126,477.0587898593591,0.001,,,,
6.0,608.2964292608181,479.30064654566286,0.001,,,,
7.0,597.1056203975327,481.2695637444673,0.001,,,,
8.0,619.1060906041816,491.39737286308963,0.001,,,,
9.0,617.3605311875917,485.02446134671055,0.001,,,,
10.0,610.8352025090101,487.35979882941405,0.001,,,,
11.0,615.4909248800614,526.4372091171458,0.001,,,,
12.0,600.076180784567,497.97470796677817,0.001,,,,
13.0,602.899276640642,477.8359481638492,0.0001,,,,
14.0,594.3318609290253,480.49948539115155,0.0001,,,,
15.0,581.1013178459647,480.5012871080469,0.0001,,,,
16.0,593.6961059174112,477.81853769174614,0.0001,,,,
17.0,590.6417052020435,476.4107402715227,0.0001,,,,
18.0,583.4613494213744,477.9019312289536,0.0001,,,,
19.0,564.2211356999954,477.3156658644171,0.0001,,,,
20.0,569.5223214450798,476.9509276025417,0.0001,,,,
21.0,580.4507714764675,477.691015159189,1e-05,,,,
22.0,568.6959579871507,476.8852026475096,1e-05,,,,
23.0,579.6318475284389,476.03768006182844,1e-05,,,,
24.0,593.921286906672,477.9177385104642,1e-05,,,,
25.0,588.067083634003,475.6786429066341,1e-05,,,,
26.0,584.3393675281139,476.40435156140626,1e-05,,,,
27.0,571.8788656476653,476.0383653801533,1e-05,,,,
28.0,571.3177371081091,475.9716743946371,1e-05,,,,
29.0,588.865177445888,475.73958468584533,1e-05,,,,
30.0,583.2325621639491,476.23196429137823,1e-05,,,,
31.0,594.666616551109,476.18769116316895,1e-05,,,,
32.0,557.2283095390555,475.9144418478818,1e-05,,,,
33.0,571.6049294504596,475.7768772163619,1e-05,,,,
34.0,571.0129020798274,475.573462817853,1.0000000000000002e-06,,,,
35.0,569.3334849893953,475.7396998642058,1.0000000000000002e-06,,,,
36.0,568.7691274069962,475.3896548143256,1.0000000000000002e-06,,,,
37.0,561.2319481066703,475.2382123500108,1.0000000000000002e-06,,,,
38.0,572.5490009020074,475.8940326027464,1.0000000000000002e-06,,,,
39.0,583.4847251299285,476.5313069324551,1.0000000000000002e-06,,,,
40.0,575.5530282252143,475.8462033493705,1.0000000000000002e-06,,,,
41.0,571.1906968259345,475.76511574748974,1.0000000000000002e-06,,,,
42.0,568.8245477667557,475.3687538651571,1.0000000000000002e-06,,,,
43.0,583.190945307848,476.2676665607313,1.0000000000000002e-06,,,,
44.0,567.8241213357627,475.9258293056795,1.0000000000000002e-06,,,,
45.0,581.769939441721,476.0477303344558,1.0000000000000002e-06,,,,
46.0,583.4206914563892,476.29021822883857,1.0000000000000002e-07,,,,
47.0,562.9007152096713,476.316495032404,1.0000000000000002e-07,,,,
48.0,556.488625299896,475.718283070862,1.0000000000000002e-07,,,,
49.0,562.877695836129,475.1303754686625,1.0000000000000002e-07,,,,
50.0,577.1877057190459,476.3219426138821,1.0000000000000002e-07,,,,
51.0,583.0464209641243,475.7846686620955,1.0000000000000002e-07,,,,
52.0,578.9175064875911,476.2162842485338,1.0000000000000002e-07,,,,
53.0,570.7647315794264,475.7305082902248,1.0000000000000002e-07,,,,
54.0,571.9142504799776,475.90793709516436,1.0000000000000002e-07,,,,
55.0,566.7980079660939,476.8141736384022,1.0000000000000002e-07,,,,
56.0,585.4699126407133,475.3990095784022,1.0000000000000002e-07,,,,
57.0,575.9356637344457,475.68147455898537,1.0000000000000002e-07,,,,
